...1,BIB,Nombre,Tiempo Oficial,Tiempo Chip,Paso por Km,Velocidad Media,Split 5k,Split 10k,Split 15k,Split 20k
18,29825,LIZBETH HERNÁNDEZ PEDROZA,01:37:52,01:27:10,04:07 /km,14.52 km/h,00:20:50,00:42:11,01:03:21,01:23:07
19,29464,MARIA GABRIELA MORALES SIMON,01:33:17,01:27:43,04:07 /km,14.43 km/h,00:20:37,00:41:55,01:03:13,01:23:19
20,26285,ARANZA FLORES SÁNCHEZ HIDALGO,01:27:45,01:27:44,04:07 /km,14.43 km/h,00:20:25,00:41:41,01:03:03,01:23:22
21,26304,ISABELLA ARZANI DOMINGUEZ,01:39:51,01:28:15,04:10 /km,14.34 km/h,00:21:10,00:42:32,01:03:57,01:24:16
22,21127,SOL ANDREA MIRANDA MONTES,01:40:04,01:28:41,04:10 /km,14.27 km/h,00:21:07,00:42:30,01:03:55,01:24:22
23,9872,MIRIAM ADELINA ROLON GONZALEZ,01:34:13,01:28:57,04:10 /km,14.23 km/h,00:20:35,00:42:26,01:04:16,01:24:41
24,20178,ANA ALICIA LOPEZ VELARDE CASTRO,01:40:23,01:28:58,04:10 /km,14.22 km/h,00:20:49,00:42:03,01:03:46,01:24:27
25,75,ANA KAREN MEJIA ESCALONA.,01:29:11,01:29:11,04:13 /km,14.19 km/h,00:20:54,00:42:55,01:04:26,01:24:54
26,24075,ADAHIA MARTINEZ LOPEZ,01:34:49,01:29:35,04:13 /km,14.13 km/h,00:20:13,00:41:51,01:04:19,01:25:11
27,28460,MARIA CONCEPCION CRUZ MARTINEZ,01:35:30,01:29:39,04:13 /km,14.12 km/h,00:21:09,00:43:06,01:04:39,01:25:19
28,15589,DANIELA GUTIERREZ CAR,01:43:27,01:29:49,04:13 /km,14.09 km/h,00:21:10,00:43:03,01:05:09,01:25:37
29,276,ALMA GUADALUPE VERGARA MUÑOZ,01:35:17,01:29:53,04:13 /km,14.08 km/h,00:19:51,00:41:03,01:03:05,01:24:54
30,24894,MARIANA CHAVERO BRUNET,01:35:46,01:29:57,04:13 /km,14.07 km/h,00:21:48,00:43:36,01:05:45,01:25:53
31,18373,MIROSLAVA PEREA AGUILAR,01:41:41,01:29:57,04:13 /km,14.07 km/h,00:21:20,00:43:21,01:05:11,01:25:48
32,27985,CARMEN VERA BRAVO,01:35:31,01:30:07,04:15 /km,14.04 km/h,00:21:42,00:43:12,01:04:54,01:25:53
33,66,BRENDA CARINA HERNÁNDEZ ZÁRATE,01:30:24,01:30:22,04:15 /km,14.00 km/h,00:20:08,00:42:23,01:04:44,01:25:54
34,16763,PAULINA GONZALEZ LOPEZ,01:41:51,01:30:23,04:15 /km,14.00 km/h,00:21:12,00:42:49,01:04:52,01:26:05
35,20943,MONICA MAGANA PEREZ,01:42:06,01:30:27,04:15 /km,13.99 km/h,00:21:11,00:42:51,01:04:56,01:26:03
36,26225,ANA LUCIA RAMIREZ RUIZ,01:42:12,01:30:31,04:15 /km,13.98 km/h,00:21:12,00:42:52,01:04:56,01:26:02
37,20309,VANESSA FERMOSO SÁNCHEZ,01:36:10,01:30:36,04:15 /km,13.97 km/h,00:20:51,00:43:42,01:05:29,01:26:27
38,6094,ADRIANA ABIGAIL JUAREZ,01:30:53,01:30:52,04:15 /km,13.93 km/h,00:20:41,00:44:16,01:06:19,01:26:38
39,26850,ANA RODRÍGUEZ ROBLEDO,01:42:49,01:30:57,04:15 /km,13.91 km/h,00:21:21,00:43:38,01:05:41,01:26:38
40,26005,MARIA ANDREA ABULARACH X,01:43:17,01:30:58,04:15 /km,13.91 km/h,00:22:55,00:44:46,01:06:16,01:26:36
41,22219,ANA LAURA LOPEZ GARCIA,01:42:56,01:30:58,04:15 /km,13.91 km/h,00:22:01,00:44:01,01:06:01,01:26:32
42,5335,LIZBETH SCARLETTE ROBLEDO MUÑOZ,01:43:51,01:30:59,04:15 /km,13.91 km/h,00:23:36,00:45:10,01:06:30,01:26:44
43,27125,GABRIELA AGUILAR VALDEZ,01:43:57,01:31:39,04:18 /km,13.81 km/h,00:21:38,00:43:18,01:05:48,01:27:06
44,5474,CAMILA SALINAS CABALLERO,01:36:57,01:31:42,04:18 /km,13.80 km/h,00:21:21,00:43:24,01:05:55,01:27:12
45,4797,BECKI MARCUS X,01:46:17,01:31:56,04:18 /km,13.77 km/h,00:22:41,00:44:10,01:06:10,01:27:29
46,24328,ESTEFANY VELAZQUEZ RODRIGUEZ,01:32:01,01:32:00,04:21 /km,13.75 km/h,00:20:55,00:43:22,01:06:09,01:27:23
47,3038,MARIANA MIRAVETE SILVA,01:37:46,01:32:30,04:21 /km,13.68 km/h,00:21:26,00:44:03,01:06:26,01:27:52
48,4157,SAMIA FRIERA DE LA VEGA,01:47:23,01:32:35,04:21 /km,13.67 km/h,00:22:53,00:44:44,01:06:55,01:28:10
49,29646,MARIELA PEDRERO LOPEZ,01:44:19,01:32:40,04:21 /km,13.66 km/h,00:21:53,00:44:23,01:06:37,01:28:12
50,2203,MARIANA RUBI ZARAZUA,01:32:50,01:32:47,04:21 /km,13.64 km/h,00:21:33,00:45:58,01:07:27,01:28:19
51,5490,SAMANTHA SANCHEZ CHAVEZ,01:45:30,01:32:48,04:21 /km,13.64 km/h,00:22:17,00:44:51,01:07:02,01:28:25
52,17978,DULCE ERANDI VELAZQUEZ FLORES,01:38:28,01:32:54,04:21 /km,13.62 km/h,00:21:38,00:44:27,01:07:24,01:28:33
53,2060,CONSTANZA RAMOS SALCEDO,01:44:42,01:32:59,04:21 /km,13.61 km/h,00:21:50,00:43:52,01:06:49,01:28:34
54,27383,PAULA VIGIL ESCALERA MARCOS,01:38:42,01:32:59,04:21 /km,13.61 km/h,00:21:15,00:43:42,01:06:47,01:28:28
55,2156,PAULINA PLASENCIA CRUZ,01:38:25,01:33:03,04:24 /km,13.60 km/h,00:23:31,00:45:52,01:08:05,01:28:39
56,14555,ISABEL ALVAREZ GARIBAY,01:46:38,01:33:10,04:24 /km,13.58 km/h,00:21:49,00:44:30,01:07:08,01:28:38
57,26703,ANA KAREN ARVIZU MANZO,01:49:02,01:33:25,04:24 /km,13.55 km/h,00:24:37,00:47:26,01:08:58,01:29:15
58,28808,XILONEN MENDEZ CASTELLANOS,01:40:12,01:33:31,04:24 /km,13.53 km/h,00:22:39,00:45:06,01:07:27,01:29:02
59,1020,HANNAH SACHSE RODRÍGUEZ,01:38:52,01:33:35,04:24 /km,13.52 km/h,00:22:14,00:44:31,01:07:02,01:28:55
60,16210,LOURDES LOPEZ DURAN,01:45:10,01:33:36,04:24 /km,13.52 km/h,00:21:35,00:44:16,01:07:08,01:28:58
61,27989,ARANZA QUIROZ ROEL,01:45:19,01:33:45,04:24 /km,13.50 km/h,00:21:55,00:44:31,01:07:18,01:29:07
62,1694,DANIELA ZARAGOZA ROMO,01:39:38,01:33:48,04:24 /km,13.49 km/h,00:21:51,00:44:13,01:07:03,01:29:15
63,15506,MARISOL PÁRRAGA MEDINA,02:24:25,01:33:53,04:24 /km,13.48 km/h,00:25:47,00:47:23,01:09:03,01:29:38
64,14738,DENISSE SMITH RODRIGUEZ,01:39:40,01:34:00,04:27 /km,13.46 km/h,00:22:24,00:45:28,01:08:13,01:29:39
65,19317,PAOLA CASTRO GARCÍA,02:07:28,01:34:02,04:27 /km,13.46 km/h,01:24:15,NA,NA,NA
66,23668,NATALIA VILLARREAL GONZALEZ,01:46:52,01:34:04,04:27 /km,13.45 km/h,00:23:20,00:46:10,01:08:33,01:29:32
67,9357,MARIA ALMENDRA ROMERO CABALLERO,01:45:29,01:34:06,04:27 /km,13.45 km/h,00:21:35,00:44:18,01:07:18,01:29:28
68,5369,ALINA ALEJANDRA RUIZ GONZALEZ,01:40:13,01:34:09,04:27 /km,13.44 km/h,00:21:57,00:44:38,01:07:38,01:29:34
69,23869,CLAUDIA VICTORIA SANCHEZ SANCHEZ,01:46:14,01:34:11,04:27 /km,13.43 km/h,00:23:06,00:45:27,01:08:08,01:29:43
70,1903,SOFIA DORING RANGEL,01:39:41,01:34:12,04:27 /km,13.43 km/h,00:22:29,00:45:06,01:07:56,01:29:40
71,16300,PAULINA HERNÁNDEZ HERNÁNDEZ,01:46:22,01:34:15,04:27 /km,13.43 km/h,00:22:28,00:45:31,01:08:00,01:29:52
72,10869,MARIBEL COLIN OSORNIO,01:46:11,01:34:28,04:27 /km,13.40 km/h,00:21:44,00:44:33,01:07:42,01:29:33
73,7097,MARÍA JOSÉ GONZÁLEZ RAMÍREZ,01:40:33,01:34:34,04:27 /km,13.38 km/h,00:22:42,00:45:44,01:08:24,01:30:07
74,1465,ISABEL UGALDE LANDAVERDE,01:40:37,01:34:39,04:27 /km,13.37 km/h,00:22:43,00:45:45,01:08:24,01:30:07
75,60,MARIA VERONICA SORIA CANTERA,01:34:43,01:34:42,04:27 /km,13.36 km/h,00:20:54,00:43:43,01:07:28,01:30:00
76,2267,ALEJANDRA CRUZ IBARRA,01:48:48,01:34:44,04:27 /km,13.36 km/h,00:22:47,00:45:02,01:07:37,01:29:55
77,19051,DIANA PAMELA MORA BENITEZ,01:48:38,01:34:51,04:27 /km,13.34 km/h,00:23:23,00:46:12,01:08:58,01:30:36
78,25876,MARIA PAULA CHAVEZ LARIOS,01:46:34,01:35:01,04:30 /km,13.32 km/h,00:22:01,00:44:55,01:08:17,01:30:24
79,18737,MELISSA AYALA GARCÍA,02:06:00,01:35:02,04:30 /km,13.32 km/h,00:37:24,00:48:08,01:26:34,NA
80,15990,ANDREA DEL VALLE FOSSAS,01:35:15,01:35:11,04:30 /km,13.29 km/h,00:22:17,00:45:35,01:08:30,01:30:35
81,22658,CLAUDIA IVETTE DE LUNA INZUNZA,01:49:50,01:35:25,04:30 /km,13.26 km/h,00:24:07,00:46:46,01:09:06,01:30:51
82,27708,DANIELA SALGADO GUERRERO,01:40:43,01:35:26,04:30 /km,13.26 km/h,00:22:21,00:45:37,01:08:57,01:30:55
83,18622,PAOLA MARTÍNEZ DÍAZ DE RIVERA,01:40:52,01:35:34,04:30 /km,13.24 km/h,00:21:19,00:45:17,01:08:29,01:30:47
84,14660,NATALIA BLANCO GARZA GALINDO,01:49:33,01:35:37,04:30 /km,13.24 km/h,00:23:20,00:46:11,01:09:15,01:31:05
85,6394,JOSIE COPE GRANADOS,01:47:06,01:35:37,04:30 /km,13.23 km/h,00:22:31,00:45:14,01:08:22,01:30:55
86,5462,MARILU MOJICA CASTILLO,01:48:06,01:35:38,04:30 /km,13.23 km/h,00:22:15,00:44:53,01:08:14,01:30:57
87,7133,PAULA RAMOS SALCEDO,01:47:58,01:35:40,04:30 /km,13.23 km/h,00:21:44,00:44:58,01:08:40,01:30:59
88,21528,PAULA CORIA PÉREZ VERDÍA,01:48:04,01:35:42,04:30 /km,13.22 km/h,00:22:38,00:45:48,01:08:58,01:31:00
89,7596,MARÍA LUISA CAMARENA LOZANO,01:47:20,01:35:45,04:30 /km,13.22 km/h,00:22:43,00:45:53,01:09:17,01:31:08
90,7989,XIMENA SERRANO LEAL,01:47:39,01:35:54,04:30 /km,13.20 km/h,00:22:08,00:45:37,01:08:56,01:31:06
91,6626,ANA GRAUE MUNOZ,01:51:59,01:35:54,04:30 /km,13.19 km/h,00:22:54,00:46:40,01:10:23,01:31:35
92,22604,ANDREA BARAJAS MARTINEZ,01:47:29,01:35:56,04:30 /km,13.19 km/h,00:23:01,00:45:53,01:09:19,01:31:10
93,26936,MAYRA CITLALLI MAYA SANCHEZ,01:41:12,01:35:56,04:30 /km,13.19 km/h,00:21:58,00:45:23,01:09:13,01:31:15
94,15402,CRISTHA MARTINEZ CALZADA,01:52:23,01:35:58,04:30 /km,13.19 km/h,00:24:57,00:47:06,01:09:36,01:31:17
95,7977,ASTRID FLORENCIA MARTINEZ VILLANUEVA,01:41:31,01:36:01,04:33 /km,13.18 km/h,00:22:29,00:45:04,01:08:54,01:31:16
96,15933,NANCY AVILA ZAMORA,01:47:46,01:36:02,04:33 /km,13.18 km/h,00:24:08,00:47:39,01:10:42,01:31:36
97,2711,PERLA HERNANDEZ HERNANDEZ,01:47:45,01:36:03,04:33 /km,13.17 km/h,00:23:18,00:46:15,01:09:24,01:31:32
98,28213,ISABEL OCAMPO PORTELA,01:42:44,01:36:03,04:33 /km,13.17 km/h,00:21:54,00:45:18,01:08:47,01:31:16
99,5879,MAGDALENA INES VIANA X,01:41:27,01:36:07,04:33 /km,13.17 km/h,00:23:49,00:47:02,01:10:06,01:31:45
100,25265,KARINA MONSERRAT NIETO MEJÍA,01:50:17,01:36:14,04:33 /km,13.15 km/h,00:24:16,00:47:19,01:10:24,01:31:47
101,21335,ILCE GARCIA GUTIERREZ,01:41:47,01:36:19,04:33 /km,13.14 km/h,00:23:04,00:46:07,01:09:15,01:31:40
102,2782,PAULA DEL VALLE FOSSAS,01:41:56,01:36:24,04:33 /km,13.13 km/h,00:22:32,00:45:50,01:09:17,01:31:32
103,24424,XIMENA VILLEGAS RIVERA,02:26:30,01:36:25,04:33 /km,13.13 km/h,00:28:47,00:39:25,01:06:27,01:31:12
104,13319,ELIKNAHY ALVAREZ RAMIREZ,01:42:28,01:36:27,04:33 /km,13.12 km/h,00:22:43,00:45:58,01:09:25,01:31:44
105,9396,REGINA ROY FIGUEROA,01:50:38,01:36:28,04:33 /km,13.12 km/h,00:23:27,00:46:49,01:09:50,01:31:46
106,14353,SOFÍA OLVERA CASTRO,01:48:06,01:36:28,04:33 /km,13.12 km/h,00:22:17,00:45:35,01:09:27,01:31:54
107,14860,SONIA MANCERA CARRILLO,01:47:54,01:36:30,04:33 /km,13.11 km/h,00:22:42,00:45:40,01:08:56,01:31:43
108,20612,NADIA SALINAS MENDOZA,01:36:32,01:36:30,04:33 /km,13.11 km/h,00:21:51,00:45:30,01:09:22,01:31:45
109,5385,AMAYA ESCOBAR COTO,01:50:33,01:36:30,04:33 /km,13.11 km/h,00:23:20,00:46:27,01:09:38,01:31:49
110,25810,NATALIA TORNEL VÁZQUEZ,01:48:06,01:36:33,04:33 /km,13.11 km/h,00:23:01,00:45:53,01:09:22,01:31:51
111,17436,ANA CRISTINA TORRES PÉREZ,02:07:34,01:36:40,04:33 /km,13.09 km/h,00:22:57,00:47:10,01:10:38,01:32:05
112,14522,FERNANDA AGUILERA GARCIA,01:48:30,01:36:42,04:33 /km,13.09 km/h,00:22:31,00:46:23,01:09:44,01:32:01
113,1564,MARIA FERNANDA ARELLANO ROSAS,01:52:16,01:36:44,04:33 /km,13.08 km/h,00:25:41,00:48:00,01:10:31,01:32:12
114,23843,VALERIA LAVIN GONZALEZ,01:53:48,01:36:57,04:33 /km,13.05 km/h,00:24:09,00:47:28,01:11:00,01:32:29
115,14863,ELISA FERNANDEZ OTERO,01:48:24,01:37:00,04:33 /km,13.05 km/h,00:22:42,00:45:38,01:08:56,01:31:55
116,12557,ANDREA BARDÁN DUARTE,02:25:10,01:37:01,04:35 /km,13.04 km/h,00:22:22,00:45:12,01:08:40,01:31:56
117,29212,REYES DE WIT TRENOR,01:48:55,01:37:06,04:35 /km,13.03 km/h,00:23:31,00:46:50,01:10:38,01:32:34
118,21670,ANDREA GUADALUPE MIRANDA ZEPEDA,01:56:06,01:37:07,04:35 /km,13.03 km/h,00:23:38,00:47:12,01:10:21,01:32:15
119,15012,JOSSELYNE CARBALLO FLORES,01:43:08,01:37:09,04:35 /km,13.03 km/h,00:21:52,00:45:26,01:09:19,01:32:14
120,7277,BERTHA ALICIA CHAVEZ MARTINEZ,02:07:42,01:37:14,04:35 /km,13.01 km/h,00:22:55,00:47:02,01:10:38,01:32:51
121,12671,ADRIANA CANO RODRÍGUEZ,01:43:18,01:37:15,04:35 /km,13.01 km/h,00:22:20,00:45:43,01:09:23,01:32:23
122,7365,MARIA JOSE DOMINGUEZ DIAZ,01:42:34,01:37:17,04:35 /km,13.01 km/h,00:22:37,00:46:10,01:10:13,01:32:34
123,802,DULCE DANARY VALLE HERNANDEZ,02:26:31,01:37:19,04:35 /km,13.00 km/h,00:23:47,00:46:50,01:10:30,01:32:56
124,27885,KAREN MARIN MORALES,01:49:00,01:37:22,04:35 /km,13.00 km/h,00:22:12,00:46:05,01:09:57,01:32:37
125,6440,ANDREA PÁRAMO GONZÁLEZ,01:49:20,01:37:24,04:35 /km,12.99 km/h,00:22:38,00:46:03,01:09:42,01:32:33
126,5661,MARIEL GONZALEZ RENTERIA,01:42:46,01:37:26,04:35 /km,12.99 km/h,00:23:12,00:47:17,01:10:48,01:32:57
127,16175,VALERIA LETICIA ROSAS MONROY,01:43:07,01:37:30,04:35 /km,12.98 km/h,00:23:01,00:46:36,01:10:17,01:32:46
128,14689,MARIANA POO ELIZAGA,01:43:02,01:37:31,04:35 /km,12.98 km/h,00:23:31,00:47:20,01:10:29,01:33:01
129,3060,LILIA PAULINA ESTRADA RAMIREZ,01:45:51,01:37:37,04:35 /km,12.96 km/h,00:25:07,00:48:13,01:11:14,01:33:02
130,3057,MONTSE MORENO ESCALANTE,01:49:59,01:37:46,04:35 /km,12.94 km/h,00:23:42,00:47:53,01:11:27,01:33:20
131,659,ANDREA KARINA PEREZ MALACARA,01:49:19,01:37:48,04:35 /km,12.94 km/h,00:22:37,00:45:37,01:09:41,01:32:49
132,26861,MONICA LARITZA CONTRERAS MAYA,01:43:35,01:37:54,04:35 /km,12.93 km/h,00:22:57,00:46:33,01:10:21,01:33:19
133,425,PAOLA OROZCO OROZCO,01:44:33,01:38:21,04:38 /km,12.87 km/h,00:22:32,00:46:23,01:10:36,01:33:33
134,14955,SOFIA ORESTANO BRIONES,02:27:05,01:38:21,04:38 /km,12.87 km/h,00:23:45,00:47:04,01:10:32,01:33:43
135,21955,JULIA MAGALY MONTANO SOSA,01:44:32,01:38:22,04:38 /km,12.87 km/h,00:22:23,00:45:41,01:09:26,01:33:25
136,6403,ANA FIERRO OBREGON,01:44:42,01:38:26,04:38 /km,12.86 km/h,00:22:57,00:46:48,01:11:15,01:33:46
137,2219,XIMENA PORTILLA RIBA,01:38:28,01:38:26,04:38 /km,12.85 km/h,00:22:54,00:46:24,01:10:56,01:33:37
138,6946,DALIA PALLARES RAMIREZ,01:43:58,01:38:27,04:38 /km,12.85 km/h,00:23:30,00:47:09,01:10:56,01:33:39
139,5662,VIOLETA PALLARES RAMIREZ,01:43:57,01:38:27,04:38 /km,12.85 km/h,00:23:30,00:47:11,01:10:58,01:33:38
140,26364,ADRIANA JIMÉNEZ SÁNCHEZ,01:45:05,01:38:30,04:38 /km,12.85 km/h,00:24:03,00:47:33,01:11:26,01:34:11
141,11754,KARIME FERNANDA MARTINEZ PÉREZ,01:50:08,01:38:34,04:38 /km,12.84 km/h,00:24:18,00:47:49,01:11:28,01:34:04
142,25744,SOFIA REYNOSO CARDOSO,01:52:22,01:38:38,04:38 /km,12.83 km/h,00:24:55,00:47:59,01:11:33,01:34:06
143,12330,MAYRA TANIA PÉREZ ANGELES,01:45:25,01:38:43,04:38 /km,12.82 km/h,00:24:03,00:47:40,01:11:39,01:34:05
144,25605,FERNANDA APARICIO SALAME,01:50:39,01:38:45,04:38 /km,12.82 km/h,00:24:00,00:47:51,01:11:09,01:33:53
145,1396,DAFNE JAEL CISNEROS MELGOZA,01:45:12,01:38:50,04:38 /km,12.80 km/h,00:23:07,00:47:00,01:11:08,01:34:01
146,10165,JIMENA GONZALEZ FERNANDEZ,01:50:24,01:38:53,04:38 /km,12.80 km/h,00:24:09,00:48:20,01:12:07,01:34:17
147,5319,AMALIA ISABEL SANCHEZ ALBO,01:45:17,01:38:55,04:38 /km,12.79 km/h,00:21:33,00:45:50,01:08:59,01:34:02
148,14622,PILAR GAVIRIA GUILLÉN,01:44:25,01:38:58,04:38 /km,12.79 km/h,00:22:50,00:46:47,01:11:04,01:34:21
149,11151,DANIELA TORRES CRUZ,02:28:03,01:39:03,04:41 /km,12.78 km/h,00:22:20,00:46:48,01:10:44,01:34:12
150,24112,XIMENA NUNEZ BAUTISTA,01:52:28,01:39:06,04:41 /km,12.77 km/h,00:22:55,00:45:56,01:10:00,01:33:50
151,10540,MARINA FLORES AGUILAR,01:45:09,01:39:12,04:41 /km,12.76 km/h,00:22:45,00:46:30,01:11:03,01:34:21
152,2328,ERIKA MONTSERRAT AVINA MANJARREZ,01:50:44,01:39:13,04:41 /km,12.76 km/h,00:23:06,00:46:37,01:11:18,01:34:20
153,10565,MIROSLAVA CORAZON CABELLO LOPEZ,01:45:11,01:39:15,04:41 /km,12.75 km/h,00:22:59,00:46:58,01:11:26,01:34:21
154,14576,MARIA NIETO URQUIZA,01:50:51,01:39:18,04:41 /km,12.74 km/h,00:21:31,00:45:20,01:10:46,01:34:35
155,10276,SARAHI AGUILAR GONZALEZ,01:52:02,01:39:23,04:41 /km,12.73 km/h,00:23:56,00:47:46,01:12:01,01:34:46
156,24033,MARLENE ESTENSSORO PINEDA,01:45:16,01:39:29,04:41 /km,12.72 km/h,00:24:05,00:48:09,01:11:55,01:34:40
157,20841,XIMENA ROMERO BAEZ,01:54:34,01:39:33,04:41 /km,12.71 km/h,00:23:22,00:47:31,01:11:27,01:34:29
158,2646,ANDREA FRANYUTI PÉREZ,01:51:09,01:39:35,04:41 /km,12.71 km/h,00:23:33,00:47:37,01:11:26,01:34:50
159,24811,GUADALUPE CABALLERO ESQUIVEL,01:51:11,01:39:37,04:41 /km,12.70 km/h,00:23:55,00:48:02,01:12:01,01:34:50
160,4991,NICOLE SORIANO GRANADOS X,01:55:02,01:39:39,04:41 /km,12.70 km/h,00:27:15,00:50:47,01:13:53,01:35:10
161,745,MARIANA GONZALEZ BARRAGAN,01:44:56,01:39:39,04:41 /km,12.70 km/h,00:23:04,00:46:58,01:11:19,01:34:46
162,14034,ANDREA LLERA ALMARAZ,01:54:02,01:39:55,04:41 /km,12.67 km/h,00:23:45,00:46:57,01:11:04,01:34:38
163,23151,NATALIA ISABEL LUIS ALONSO,01:52:18,01:39:56,04:41 /km,12.66 km/h,00:25:04,00:48:52,01:12:40,01:35:17
164,14014,ISABEL DEL CUETO ABASCAL,01:54:31,01:39:56,04:41 /km,12.66 km/h,00:25:22,00:48:40,01:12:27,01:35:11
165,1560,TANIA CORTÉS CAMPOY,01:52:25,01:39:58,04:41 /km,12.66 km/h,00:23:31,00:47:26,01:11:37,01:34:57
166,29511,CAROLINA SANCHEZ BERNARDINO,01:52:05,01:39:59,04:41 /km,12.66 km/h,00:23:55,00:47:44,01:11:43,01:35:05
167,17771,ADRIANA ABIGAIL HERNANDEZ SANCHEZ,02:28:10,01:40:00,04:41 /km,12.66 km/h,00:22:57,00:47:03,01:11:42,01:35:08
168,27601,ANA CRISTINA ARANA SANCHEZ,01:54:38,01:40:00,04:44 /km,12.65 km/h,00:25:37,00:50:08,01:13:28,01:35:26
169,3787,ISABEL KARIM CLAVERAN,01:52:07,01:40:02,04:44 /km,12.65 km/h,00:23:53,00:47:56,01:12:02,01:35:19
170,12132,VERONICA QUIROZ GARCIA,01:52:12,01:40:06,04:44 /km,12.64 km/h,00:23:38,00:47:48,01:12:15,01:35:30
171,13900,CAROLINA ONTIVEROS FLORES,01:52:02,01:40:07,04:44 /km,12.64 km/h,00:24:33,00:48:49,01:12:57,01:35:33
172,16708,IRMA CAROLINA PASOS SUÁREZ,01:52:15,01:40:09,04:44 /km,12.63 km/h,00:23:39,00:47:47,01:12:19,01:35:28
173,5371,MARÍA FERNANDA BELMONT PÉREZ,01:53:19,01:40:18,04:44 /km,12.62 km/h,00:35:29,01:06:22,01:34:56,NA
174,1935,PATRICIA ROJAS MORALES,01:40:20,01:40:18,04:44 /km,12.62 km/h,00:23:03,00:47:18,01:11:44,01:35:25
175,15643,KARLA TERRAZAS PLAZA,01:45:58,01:40:21,04:44 /km,12.61 km/h,00:23:53,00:48:12,01:12:23,01:35:36
176,29221,MARÍA FERNANDA GRIMALDO GALEANA,01:53:07,01:40:27,04:44 /km,12.60 km/h,00:23:44,00:48:00,01:12:37,01:35:40
177,5004,MARIA JOSE FRESAN MACEDO,01:52:39,01:40:27,04:44 /km,12.60 km/h,00:23:04,00:46:57,01:11:39,01:35:37
178,27186,MONICA NATALIA RAMIREZ BARBA,01:53:23,01:40:36,04:44 /km,12.58 km/h,00:24:24,00:48:27,01:12:52,01:35:40
179,27554,ALEXIA LACHICA CERVANTES,01:47:00,01:40:37,04:44 /km,12.58 km/h,00:24:32,00:49:23,01:13:36,01:35:47
180,19534,MONICA HERNANDEZ ALCALÁ,01:55:39,01:40:41,04:44 /km,12.57 km/h,00:25:29,00:49:09,01:12:40,01:36:14
181,15729,ALEXANDRA REDONDO ROAJS,01:54:05,01:40:42,04:44 /km,12.57 km/h,00:23:03,00:47:12,01:11:47,01:35:31
182,17551,SAMIA BEDOLLA LOPEZ,02:03:25,01:40:49,04:44 /km,12.55 km/h,00:48:19,01:12:41,01:36:05,NA
