...1,BIB,Nombre,Tiempo Oficial,Tiempo Chip,Paso por Km,Velocidad Media,Split 5k,Split 10k,Split 15k,Split 20k
129,17216,VENNY ALBERTO VENEGAS GOMEZ,01:36:00,01:24:08,03:58 /km,15.04 km/h,00:20:53,00:41:24,01:01:26,01:20:17
130,29819,ARTURO SILVA GALVEZ,01:35:32,01:24:10,03:58 /km,15.03 km/h,00:19:16,00:39:23,01:00:20,01:20:03
131,21328,MARTIN TORRES VERA,01:30:03,01:24:11,03:58 /km,15.03 km/h,00:20:23,00:40:40,01:00:42,01:20:07
132,1950,JOSÉ LUIS AGUILAR OSNAYA,01:29:32,01:24:18,03:58 /km,15.01 km/h,00:19:33,00:39:58,01:00:49,01:20:12
133,18040,JORGE SIERRA VILLARROEL,01:36:17,01:24:18,03:58 /km,15.01 km/h,00:20:33,00:40:55,01:01:02,01:20:20
134,13482,EMILIO MARTÍNEZ MINERO,01:29:44,01:24:19,03:58 /km,15.01 km/h,00:19:59,00:40:32,01:00:45,01:20:20
135,1361,ALFONSO QUIJANO LANGLE,01:29:47,01:24:21,03:58 /km,15.00 km/h,00:19:28,00:39:56,01:00:23,01:20:13
136,16072,JOSE ANTONIO OLIVARES ALEJANDREZ,01:35:12,01:24:24,03:58 /km,14.99 km/h,00:19:24,00:39:55,01:00:17,01:20:17
137,12523,ENRIQUE SALAZAR RAMIREZ,01:36:23,01:24:25,03:58 /km,14.99 km/h,00:22:00,00:42:04,01:02:11,01:20:44
138,22819,VÍCTOR MANUEL MENDOZA FIGUEROA,01:30:06,01:24:27,03:58 /km,14.99 km/h,00:19:52,00:40:02,01:00:38,01:20:12
139,8646,JOSÉ GUILLERMO MARCHAND DE LOS COBOS,01:30:31,01:24:31,03:58 /km,14.98 km/h,00:20:04,00:40:30,01:00:58,01:20:51
140,6763,FRANCISCO MIGUEL MENCHACA,01:36:02,01:24:36,03:58 /km,14.96 km/h,00:19:10,00:40:01,01:00:52,01:20:18
141,25619,ELYN DANIEL SANTIAGO MATEO,01:30:27,01:24:36,03:58 /km,14.96 km/h,00:19:06,00:39:13,01:00:17,01:20:13
142,1563,HECTOR MENA ALISEDO,01:24:41,01:24:38,03:58 /km,14.95 km/h,00:19:30,00:39:54,01:00:28,01:20:32
143,15117,EMILIO ARENAS ORTEGA,01:30:46,01:24:40,03:58 /km,14.95 km/h,00:20:17,00:40:57,01:01:27,01:20:46
144,16055,BENJAMÍN RODRÍGUEZ HERNÁNDEZ,01:30:43,01:24:43,03:58 /km,14.94 km/h,00:20:01,00:40:16,01:00:57,01:20:30
145,19331,EDWIN RICARDO GARCIA GALEANA,01:30:55,01:24:43,03:58 /km,14.94 km/h,00:19:10,00:38:57,00:59:21,01:20:24
146,1552,ANDRES GOMEZ BARRERA,01:30:03,01:24:45,03:58 /km,14.93 km/h,00:20:20,00:40:27,01:00:48,01:20:35
147,15129,MARCO AGUILAR CALDERON,01:30:26,01:24:46,03:58 /km,14.93 km/h,00:19:59,00:40:18,01:00:41,01:20:41
148,1566,WILMER DANIEL TORRECILLA RAMIREZ,01:30:09,01:24:47,03:58 /km,14.93 km/h,00:19:30,00:40:05,01:00:47,01:20:29
149,4939,OSCAR TELLEZ X,01:30:55,01:24:48,03:58 /km,14.92 km/h,00:20:17,00:40:57,01:01:27,01:20:46
150,11133,JORGE CÉSAR MORENO MEDINA,01:36:17,01:24:55,03:58 /km,14.90 km/h,00:20:19,00:40:27,01:00:46,01:21:02
151,1187,SERGIO SOLARES ORTIZ,01:30:09,01:24:56,03:58 /km,14.90 km/h,00:19:41,00:39:59,01:00:24,01:20:47
152,23774,OSCAR DANIEL GONZÁLEZ VERTIZ,01:31:49,01:25:06,04:01 /km,14.87 km/h,00:20:48,00:40:46,01:01:16,01:21:03
153,20202,JORGE LUIS VELÁZQUEZ FLORES,01:30:40,01:25:06,04:01 /km,14.87 km/h,00:20:28,00:41:03,01:01:36,01:21:02
154,29289,ARTURO HERNANDEZ RIVERA,01:30:31,01:25:14,04:01 /km,14.85 km/h,00:19:54,00:40:43,01:01:37,01:21:08
155,4271,FREDY ALEJANDRO CHÁVEZ OROZCO,01:25:17,01:25:17,04:01 /km,14.84 km/h,00:19:14,00:39:36,01:00:54,01:21:17
156,6288,JOSE ANTONIO GUTIERREZ HERNANDEZ,01:31:21,01:25:24,04:01 /km,14.82 km/h,00:19:49,00:40:09,01:00:49,01:21:10
157,3624,GUILLERMO LOPEZ ANSALDO,01:36:57,01:25:26,04:01 /km,14.81 km/h,00:20:08,00:40:34,01:01:15,01:21:15
158,15400,EDUARDO IBRAHIM PÉREZ RANGEL,01:25:33,01:25:28,04:01 /km,14.81 km/h,00:19:37,00:40:20,01:01:07,01:21:18
159,17679,IVAN GRANADOS PALMA,01:37:00,01:25:32,04:01 /km,14.80 km/h,00:19:10,00:39:18,01:00:08,01:21:15
160,25652,AGUSTIN MÉNDEZ MÁRQUEZ,01:31:05,01:25:34,04:01 /km,14.79 km/h,00:19:37,00:40:20,01:01:07,01:21:18
161,775,CÉSAR MENCHACA LUNA,01:25:37,01:25:36,04:01 /km,14.79 km/h,00:19:38,00:41:18,01:02:06,01:21:24
162,9820,OMAR GARCIA ESCARCEGA,01:31:10,01:25:40,04:01 /km,14.77 km/h,00:20:48,00:41:32,01:02:15,01:21:43
163,23876,LORENZO NIETO ALONSO,01:30:54,01:25:40,04:01 /km,14.77 km/h,00:20:03,00:41:07,01:01:54,01:21:35
164,24733,DIEGO ORTIZ VAZQUEZ,01:32:09,01:25:41,04:01 /km,14.77 km/h,00:21:04,00:41:00,01:03:20,01:22:04
165,29087,ALFREDO MUCINO MANZUR,01:25:44,01:25:44,04:01 /km,14.76 km/h,00:17:43,00:36:58,00:58:53,01:21:38
166,5079,JESUS HERNÁNDEZ PADILLA,01:31:57,01:25:44,04:01 /km,14.76 km/h,00:20:42,00:41:25,01:02:20,01:21:51
167,27329,RICARDO SEBASTIAN MEJIA TORRES,01:37:11,01:25:46,04:01 /km,14.75 km/h,00:19:23,00:40:25,01:01:26,01:21:38
168,22334,FEDERICO SANTOS CONDE,01:31:16,01:25:55,04:01 /km,14.73 km/h,00:21:12,00:41:40,01:02:16,01:21:53
169,24572,JULIÁN GARCÍA GARCÍA,01:31:16,01:25:55,04:01 /km,14.73 km/h,00:21:11,00:41:40,01:02:16,01:21:53
170,27779,RODRIGO EMILIO VALERIO CERDA,01:37:21,01:25:57,04:01 /km,14.72 km/h,00:20:00,00:40:55,01:01:52,01:21:45
171,25726,HUGO ARENAS SÁNCHEZ,01:37:47,01:25:59,04:01 /km,14.72 km/h,00:20:08,00:40:43,01:01:47,01:21:54
172,24658,MANUEL ALEJANDRO ALVARADO OLIVAR,01:37:36,01:26:00,04:04 /km,14.71 km/h,00:20:54,00:41:30,01:01:58,01:21:45
173,8480,HUMBERTO CASTRO CUEVAS,01:31:29,01:26:01,04:04 /km,14.71 km/h,00:20:21,00:40:59,01:02:10,01:21:57
174,28706,DIEGO ALONSO BARBA GUTIERREZ,01:31:21,01:26:03,04:04 /km,14.71 km/h,00:20:30,00:41:13,01:02:12,01:21:50
175,29177,CHRISTOPHER OLVERA RANGEL,01:37:32,01:26:10,04:04 /km,14.69 km/h,00:20:09,00:40:45,01:01:27,01:21:57
176,5504,JAVIER VAZQUEZ ANTON,01:31:24,01:26:11,04:04 /km,14.68 km/h,00:19:41,00:40:39,01:01:40,01:22:04
177,26466,JOSE ROSAS MONROY,01:31:50,01:26:15,04:04 /km,14.67 km/h,00:19:44,00:40:59,01:02:08,01:21:55
178,3445,LUIS ALBERTO GONZÁLEZ RUIZ,01:37:48,01:26:16,04:04 /km,14.67 km/h,00:20:32,00:41:09,01:01:56,01:21:54
179,16491,FLORENCIO MADARIAGA GUILLÉN,01:41:17,01:26:21,04:04 /km,14.65 km/h,00:21:52,00:42:40,01:03:14,01:22:24
180,26755,ANTONIO MONTIEL CHACÓN,01:32:28,01:26:22,04:04 /km,14.65 km/h,00:21:28,00:42:36,01:03:06,01:22:26
